id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
2,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
3,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
4,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
5,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
6,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
7,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
8,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
9,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
10,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
11,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
12,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
13,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
14,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
15,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
16,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
17,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
18,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,N
19,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
20,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,N
21,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,1,1,1,7.35,8,470.48,0.02,17,0.13,26.14,58.81,1,0,0,2,0.25,6,11,3,8,4,0,2,N
22,0,1,1,0,0,0,1,0.5,0,1,1,3,1,0,2,1,1,1,7.81,9,632.78,0.02,19,0.11,35.15,70.31,1,0,0,4,0.25,8,11,4,9,4,0,2,N
23,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,128,37.96,81,Y
24,18,18,3,15,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,129,38.53,82,N
25,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,128,37.96,81,N
26,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,128,37.96,81,N
27,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,128,37.96,81,N
28,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,128,37.96,81,N
29,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,128,37.96,81,N
30,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,128,37.96,81,N
31,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,128,37.96,81,N
32,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,128,37.96,81,Y
33,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,128,37.96,81,Y
34,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,128,37.96,81,N
35,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,128,37.96,81,N
36,18,18,3,15,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,129,38.53,82,N
37,18,18,3,15,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,129,38.53,82,N
38,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,128,37.96,81,N
39,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,128,37.96,81,N
40,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,1,1,31,44.38,61064.32,0.46,238,0.02,3392.46,1375.96,1,4,8,31,0.01,99,139,29,26,128,37.96,81,Y
41,18,18,3,15,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,129,38.53,82,N
42,18,18,3,14,27,16,1,0.01,8,1,1,42,1,0,67,0,0,0,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,1,4,8,31,0.01,99,139,27,26,128,37.96,81,N
